"","x"
"건네주기",-13.6648234570389
"고기는누린내나고",-13.6646976199359
"길거리",-13.6621249366125
"무료수거",-13.6617856598769
"기하나도없ㄷ",-13.6612784914038
"가격너무",-13.6602677118483
"그날만",-13.659011582194
"갔다가완전",-13.658888483185
"같이같는데",-13.654192106419
"깜짝방문으로",-13.6495725506414
"가세요",-13.6450775607343
"개가져오나",-13.6366601508316
"고기가정말",-13.6333901257694
"권하고",-13.6331932519561
"김치날치알볶음밥은",-13.6303525514425
"관광차",-13.6159303270403
"가게도드럽고",-13.6146769635789
"맛잇죠",-13.6114989881444
"갔다고",-13.6105100081367
"고기집은",-13.6100093868684
"누가손님인지",-13.6086001998938
"검색중",-13.6073417554432
"그럴수있다",-13.6069060716883
"가져가시네요",-13.6064952265859
"기분까지",-13.6014002422326
"그랬는지정말",-13.600954081911
"귀찮다는듯이",-13.6001165709232
"많이주시고",-13.5995701586456
"그대로였어요",-13.5991036399849
"다신안올듯",-13.5988360351255
"교육중",-13.5982412450594
"가실분소주는",-13.5874796694075
"모이세요",-13.5869514256666
"가겠습니다",-13.5850186246716
"기분잡쳤네",-13.5737131903167
"그렇게느낄수",-13.5670972652645
"나름만족합니다",-13.5667565777585
"관점에서",-13.5631122753348
"맛은중간급",-13.5629809911559
"무휴가",-13.5587526939411
"가게앞에서",-13.5557086995767
"등산도",-13.5545975878414
"기름냄새만",-13.5527440918014
"교촌다시는",-13.5515363523607
"그따우로",-13.5491460459874
"고등어구이",-13.5457890364133
"가만있어서",-13.5449175955418
"krpiano",-13.5350585837982
"가게에",-13.5349832689813
"기대햇던곳인데",-13.5304205429598
"그러고도",-13.527019450459
"가지가",-13.5184472100911
"가지마세요",-13.5163382130482
"관리따위안하나봐요",-13.5125164251499
"너덜너덜하면서",-13.5062281105088
"다르긴",-13.5061296218486
"계산한",-13.5042350728598
"글인가",-13.5025302095151
"since",-13.501559060308
"카페에",-13.5005439320277
"가겠다",-13.4988177488064
"pb알바",-13.4956289197758
"계속통화중이네요",-13.4927704542947
"기분만상하고",-13.4907520945019
"무슨과자인가요",-13.4903351788358
"금요일이고",-13.4891432303333
"g이더군요",-13.4863799109904
"가서먹어보니",-13.4848776747198
"동이다른",-13.4812797950207
"간격으로",-13.4790934927955
"귀가안들려못알아쳐먹으면차분하던지해야는데",-13.477929471931
"걷어차요",-13.4779256834359
"다른지역가서",-13.4776626071777
"가는지",-13.4771940890941
"그냥시키는데",-13.4766144574588
"관리하는",-13.4748012396443
"금방변하는데",-13.4745288358152
"띨띨해졋고",-13.4703068730886
"가져가라고",-13.4673993846476
"계산해달라고",-13.4642697685409
"개판이고",-13.4611568214887
"가게인줄",-13.460536095223
"나왔더라구요",-13.4605125402961
"개털이",-13.4570124456025
"나왔는데도",-13.454124302027
"떡이업다니",-13.4528426171691
"겨우연결되면",-13.4456377529531
"겨우먹고나왔네요",-13.4443719551538
"sk점",-13.4441053864131
"뭡니까",-13.441969714185
"가져다주지도",-13.4387265073788
"계산하려고하니",-13.4386888531388
"맛없음먹는데",-13.435311147188
"관리좀하세요",-13.4344012870505
"그건그냥",-13.4340388330437
"가게는",-13.4329273993654
"단무지가",-13.4307154971251
"결심했습니다",-13.4303340960912
"기대했는데",-13.4265881750397
"가지안으려구",-13.4242052303936
"광고지에",-13.4238863533806
"그러시는지",-13.4230444265577
"그럭저럭이지만",-13.4174500208253
"그식당은",-13.4166225708085
"cf에서",-13.4127353745071
"그맛은",-13.4086831015503
"x같음",-13.4018503645383
"남자친구가자꾸잔소리해서열받네요",-13.3981630581102
"먹으려",-13.3933834814327
"굽네하나더생겨라",-13.3911348534683
"겨울에는",-13.3909579104734
"개같이",-13.3909424516992
"계산순서도",-13.3902055453003
"몇개만있고",-13.3878278048926
"계산할",-13.3854833040934
"기본아닌가",-13.3833287602281
"안주도별로든데",-13.3809173419756
"나왓는데",-13.3802743170233
"그만큼자주시켜먹는다는건데",-13.3792988039414
"보쌈만",-13.3789710553
"다신시키나봐라",-13.3785989927751
"거기도",-13.3762791919968
"bar에서나",-13.3755537988792
"그분과",-13.3736429694663
"걸렸습니다",-13.3697438154355
"광고해놓고",-13.3608197615762
"tv를",-13.3603307523802
"그외에",-13.354913823549
"가져온건지",-13.3536828832051
"들어간다는",-13.3517010889487
"김치찌개에서",-13.3512341408714
"망할듯",-13.3487445462594
"그야말로",-13.3477480438448
"닭크기",-13.3427235021626
"겨자소스",-13.3406537491952
"배달안옴",-13.3398455845079
"메뉴중",-13.3387155746
"고기한점",-13.3343731015879
"고기잡내가",-13.3324586795012
"나온게",-13.3307211775088
"그자체인곳",-13.3276171928324
"광어회초밥이",-13.3273343940788
"가성비가",-13.3208742002089
"기계등도",-13.3173323564875
"경악스럽네요",-13.3168641390125
"개나줘버리고",-13.3149620191969
"망할날이",-13.3149173332654
"과일그나마평가가",-13.314069780351
"번호입니다",-13.3135511164389
"같다고",-13.3111427909985
"걸려야",-13.3085958036995
"개판입니다",-13.3040612576963
"그음식들이",-13.3035437779325
"걍나와버렸네요",-13.303174432543
"거기를",-13.3022941671647
"개판이네요",-13.2965310177462
"거기서거기겠지하고들어갔음",-13.2951518806558
"런치콤보먹고",-13.2889782208013
"겁나네요",-13.2843402049462
"광주냉면명가",-13.2783962512838
"글쓰신",-13.2746366974427
"그러면안됨",-13.2736151525717
"나갔을뜻",-13.2734957720323
"가져온듯한",-13.2734294691125
"개판이네",-13.2696586253279
"고깃집이거기만있는것도아닌데",-13.2676592707958
"검색하면",-13.2626414937895
"개잡침",-13.2613242617534
"갈때가",-13.2589257038021
"말하다마자",-13.2588001030178
"걱정했지만",-13.2576941794521
"겪고나서",-13.2504824330219
"가려다가",-13.249382108226
"두세번",-13.2481254703839
"같앗는데",-13.2465743251258
"걱정했었는데",-13.2444161534452
"굴탕수육",-13.244222181615
"결혼식때",-13.235831859538
"그럭저럭이에요",-13.2348486341453
"가게가서",-13.2298003227093
"개나쁨",-13.2258333500894
"서비스없음",-13.2215577153562
"개같은",-13.2199840047886
"그쪽얼굴보기싫네요",-13.2164201544417
"거리네요",-13.2146039150728
"가격대",-13.2115376630364
"거기보다",-13.2094455487347
"개같은지점",-13.2049106522414
"그저그래요",-13.196447948633
"시간지나도",-13.1927275036813
"검은지",-13.1908624571054
"가져다달라고말해도안가져다주고",-13.1869430206565
"그리고직원한명은눈병처럼눈빨갛던데위생상문제되는거아닌가",-13.1866912051482
"가지마요",-13.1772093497671
"겪어봤어요",-13.1754327555137
"낙지김치죽도",-13.175264230851
"실망스러워요",-13.1740546012543
"불친절도그렇지만",-13.1735391842994
"걸린다고하는지",-13.1718628382681
"거스름돈",-13.171593440114
"나오고싶엇다",-13.171236508428
"x같으면",-13.1701688011162
"되나요",-13.1631925789283
"거슬렸습니다",-13.1619068531339
"결국엔",-13.1613835006396
"맛은그냥맛있는뎅",-13.1613629170392
"거린데도",-13.1599385314155
"그렇다쳐도",-13.157614302201
"불렀나본데",-13.1543350594548
"고래고기와",-13.1527739263143
"cxxx",-13.1521094997468
"bhc치킨에서",-13.1453019813708
"결혼한후에도",-13.1444289503338
"시까지랍니다",-13.1371872818278
"개똥그지같네진짜",-13.1348103380424
"그분이",-13.1322990435236
"거짓말을",-13.128896181079
"거지로",-13.1285461992737
"남산타워에서",-13.1245886535576
"돈원이동네강아지이름도아니고",-13.1186303363907
"광고티가",-13.1169939306828
"같이간",-13.1147329609493
"게맛까지버렷네요",-13.1126642862618
"간장덮밥",-13.1125243782756
"고등학생들만",-13.0995074185838
"sns할인이벤트",-13.0976765467336
"고민하고",-13.0972800875822
"공짜로주네요",-13.0946661669185
"고기가너무",-13.0938655898585
"그렇게장사하지마세요",-13.0868812717937
"결제는",-13.0854488742852
"별루에요",-13.0820131356446
"거예요",-13.080808321961
"안좋은데는",-13.0793774740715
"심심하면",-13.0744028738063
"개업때",-13.0702436470015
"ewindows님",-13.0686440075226
"꽝이다",-13.0663748643541
"고딩들만쓰나",-13.0623506775283
"가게네요",-13.0430207732911
"거지같이",-13.0353559849735
"맛있다는사람들은머지",-13.0340551020129
"고급스럽습니다",-13.0320991573377
"건물은",-13.0268700477269
"적힌거죠",-13.0177747375961
"망한듯",-13.017726097443
"맛잇긴한데",-13.0140348443006
"그리장사하심안되요",-12.9981974186791
"그지없음",-12.9940060937822
"입구들어가자마자부터화장실찌린내가나더니짜장면에서탄냄새며탄맛난다니주방이모가안에서알바생한테그건그냥불맛이라며여러번강조해서크게크게말하고다시나왓는데도탄맛뿐이어서안먹고나옴다시는안감최악의짜장면집이엇음",-12.9883112016461
"우연하게",-12.9857049349986
"낫겠어요",-12.9832431837068
"그럭저럭",-12.9805657153396
"배를잡고",-12.9785276159452
"기다려야함",-12.9766654510265
"가야것네요",-12.9763842496219
"개시킬거면",-12.970758714804
"개맛없음직장동료",-12.9704295816845
"배달알바생이",-12.9695147235211
"배달해주시는분들은완전친절한데",-12.965958486771
"전화를절대안받네",-12.9604618112863
"쓰길래요",-12.958593707188
"김명선이는",-12.9567456100412
"개선을",-12.9541260844446
"망햇음",-12.9522382176617
"고용하는게",-12.9517631046409
"고기질이너무떨어지네요",-12.9510423820721
"무섭게끊음",-12.93774408861
"계산전문의시",-12.9359039370463
"설명해줘서",-12.9275242538193
"데려갔다가",-12.9214150860293
"글보니",-12.9093159309183
"머리카락나오거",-12.9043907687355
"과자처럼",-12.9028703678581
"쌩이나까고",-12.8923625231346
"아기라도때릴기세네",-12.8899827874854
"갈아서",-12.8872527029457
"기본으로",-12.8798791904167
"생겨나는",-12.8782738421796
"사장님이런식으로하시면안될것같아요",-12.8771489641784
"길가에서",-12.8703576480447
"그래놓고음료는기본엎질러져있고",-12.8657135319199
"망했나요",-12.8392612212052
"걷어차는건",-12.8350515965858
"가격에비해맛이",-12.8334398956069
"깜놀했네요",-12.824675983302
"받지않음",-12.8227448041457
"맛은괜찮은데",-12.8225045156849
"금액도비싸",-12.8180722636313
"정말서비스가친절하지않네요이용하지마세요거기가면어린에가있는데",-12.8172064419793
"개싸가지없었음",-12.8105028371112
"개발품인가여",-12.8073512185679
"강정해녀의집에서",-12.804577092641
"저번에한시간넘께기다린적이있어서그냥그럭저럭보통이네요",-12.8022706369564
"거기진짜",-12.7916564533231
"cf보고",-12.790398229421
"거리시고",-12.7823467823364
"글러먹음",-12.775249204416
"걷어찼다는",-12.7735207725755
"교촌치킨",-12.7725117338969
"길목잘잡아서",-12.7542592737129
"남겨봅니다",-12.7521961754661
"그냥미안하다고하면될껄이지밥먹으려다가똥밞앗네",-12.7424306141415
"가게되네요",-12.728640790112
"게다가크기도작은거임",-12.7272911137988
"가져갔으면서문",-12.7219559004045
"댓글알바쓰는건가",-12.7181544879558
"가짜삼겹으로나옴",-12.7160858365694
"메뉴판던지는식당은",-12.7051102645892
"그지같음",-12.6893618065872
"제일최고",-12.6756631855702
"배달되고",-12.6719623623049
"원인가요",-12.6605051862346
"고고블로그",-12.6586565648995
"기분나빠서다시는안가요",-12.651678795126
"빠른시일내에",-12.6301866371945
"구매래서",-12.6241350510021
"그딴식으로장사하지마세요",-12.5976041340741
"서비스최악이었음",-12.5965961023444
"가게되는",-12.5956092444286
"가져다달라고",-12.5945632308357
"미뒤짐",-12.5904948093274
"가격비싸고채끝살가지고등심이라코하면안됨투뿔치고마블링이딸림등급정도한우는절때체인화가될수엄음특히투뿔은ㆍ양심것장사해요",-12.5903756156559
"글쓴사람은",-12.5875303527454
"바보들",-12.5813136979963
"덩그러니",-12.5658744500621
"여기전화받는것도그러고왜케싸가지없어요",-12.5644282702496
"개쓰레기",-12.5557216802858
"그릇더러움",-12.5449432353995
"거기서도",-12.5444774294152
"미스터피자",-12.5346674205733
"안받는지",-12.5292657204136
"개비추",-12.510116273689
"그렇지않다면",-12.5082136336009
"파시고",-12.4979950875944
"그냥그거먹었음",-12.4949790360689
"괜찬씁니다",-12.4930018504204
"삼겹살에서",-12.4887369130829
"개뿔미리",-12.4624546962939
"안먹는걸로",-12.4577083679396
"년가고",-12.457067200642
"개념을",-12.4536646101916
"개입니다",-12.4394826806711
"배불렀는듯",-12.4362150179302
"갖고오더만",-12.4322335646267
"과하네요",-12.4257123353708
"캐첩개준대놓고라지세트개시켰는데캐첩개주네",-12.419720137026
"거리임",-12.4096626717263
"음식점운영안하는거같네요",-12.3758251234205
"먼데서",-12.3756772472422
"개매너고",-12.3735155773899
"긴장하시길",-12.3673778179989
"국물몇번",-12.361940969672
"그런건",-12.3614865663886
"개발하섰는지",-12.3151071328247
"싸가지도",-12.3138129383565
"알바같네요",-12.3106857558931
"가지마세옄",-12.3057736973667
"안받네",-12.3025891453675
"맛드럽게",-12.3005208742605
"사진들입니다",-12.28998681556
"걸레달라니까",-12.2809561636312
"첫인상은",-12.2391250372659
"갔더니이런음식점에서",-12.233399071378
"갠찮네요",-12.2329245362868
"배달도착때",-12.2158118185507
"따질까",-12.2138127917575
"꽝이올시다",-12.2084023840848
"먹고왔다는",-12.1953472225629
"꺼버리네요",-12.181504040071
"별한개도아까운맛써비스도영쯧쯧",-12.1739852619855
"끝ㆍㆍㆍ",-12.1625049866208
"드릴게요",-12.1226062719308
"갔으면",-12.1022325170594
"개선해주시면",-12.071590214315
"검색이",-12.0253326140109
"다신안감ㅂ",-12.0222953696211
"그전에",-11.9902458674142
"가격대로",-11.9762040523699
"가족중에",-11.9314781278608
"개띠꺼움",-11.9202521413767
"광주에",-11.8672876169738
"개판인",-11.8661050092089
"닭먹다가",-11.7634634745248
"관공선가",-11.7576615059582
"아이콘이네요",-11.7335548626414
"엉망이예요",-11.7242579151093
"올라가있어서",-11.7055109039453
"ㄱㄱㄱㄱㄱ",-11.6727992343158
"남아있고",-11.598499333779
"들를듯",-11.5779168489562
"것부터",-11.5294914352636
"경우가",-11.4963612249293
"기름으로",-11.4558317273706
"버섯이랑",-11.4259300275429
"차림표에",-11.3531632456965
"남는건",-11.3489661664624
"개념상실",-11.3452875732281
"내생애최악의",-11.2584771251156
"꼼수를",-11.2265161119393
"개판이",-11.1961605536525
"반찬도깨끗했어요",-11.1913675818002
"배달해주시는",-11.1693177743771
"사장또라이",-11.154087763933
"다른곳보다는",-11.139313873348
"고객대응은",-11.1215316751268
"나이좀",-11.0853326051028
"하루지나면또생각나는",-11.039681398265
"참치집입니다",-11.0267229606836
"생긴지",-10.9955728975971
"개념쳐말아먹은",-10.9541047833103
"맛없어요",-10.9444659159036
"바랄게",-10.909459214966
"나구요",-10.8831822098345
"가버리더라구요",-10.8465395548145
"노양심",-10.8129831054759
"두번은",-10.7992185772298
"짱친절하고",-10.7659174329991
"요리중의",-10.7453737223949
"기름이더러움",-10.732816418048
"그럭저럭인데",-10.7285008576339
"고기의",-10.7182800034606
"기분나빠하고",-10.6853936212654
"완전바가지에",-10.6613414879486
"것밖에",-10.6159871381757
"맥주먹기좋네요",-10.6158873410342
"괜찮았네요",-10.5783578280118
"다녀왔습니다",-10.5623882739016
"좋은건",-10.5623158539847
"넘두껍고",-10.4698060579724
"버세요",-10.4662882214774
"나빠져서",-10.4611200914762
"동신대학생들이",-10.4592509426676
"매니저인가",-10.4286602017245
"아저씨아줌마",-10.402436884015
"또래오래에서",-10.3430749215888
"주시는데",-10.3402276137031
"그러던데",-10.2968058990208
"나가라고",-10.2887050662815
"불친절함",-10.2649937458357
"두번은안갈곳이예요",-10.262660596281
"계산을",-10.2578269927908
"내질않나",-10.2472149854532
"구색만",-10.2364463804068
"동김해점처럼",-10.2347916126352
"파이팅",-10.2107714357371
"갔는데요",-10.1927220413573
"들깨크림떡갈비파스타",-10.1664606456126
"맛잇네요",-10.1661373660738
"네명앉는자리애",-10.1486172428816
"뭘드셧는지",-10.1456678698996
"괜찮았지만",-10.1053990335197
"통닭을",-10.0842554167716
"같은거",-10.0759850421579
"닫혀있더군요",-10.0330070886777
"고쳐야",-10.029978028833
"대대하다",-9.97355793832655
"포장은",-9.87863110796267
"북삼읍",-9.85381556330845
"써어비스도왕",-9.84336297459786
"배달시키기",-9.83506301751723
"소래포구",-9.80936113012463
"먹었봤는데요",-9.76272960703377
"알바생들",-9.76032410779371
"몇마리한정으로튀기고있어",-9.71607261346965
"아랫분말처럼",-9.69956568570141
"비추천",-9.68044337753503
"집된장에",-9.6200894822771
"맛있구",-9.59136813759219
"가시면",-9.50152488351754
"받아서",-9.48236973642684
"답답해서",-9.4324268325911
"못먹어요",-9.42887058946416
"교육좀",-9.42598979253687
"머예요",-9.39740535401696
"갖다주고",-9.38125274062848
"기가막힙니다",-9.38110832963521
"바뀌엇다네요",-9.35103580286667
"소풍가면서",-9.31140145959208
"그릇에",-9.25343182873349
"매니아",-9.23907584380553
"그럴때가서",-9.22091069868517
"매콤한음식",-9.21614288243499
"냉동고기를",-9.20890494765438
"숯불김밥",-9.18172304764803
"싸우자는건가",-9.17234385147199
"고추가루에",-9.1332176614598
"그러면서도",-9.11424557685327
"생소한",-9.106206249386
"세트메뉴랑",-9.08745510394281
"끝내줘용",-9.06588973254543
"고깃집은",-9.06148621294989
"먹어봐야",-9.03558547558201
"된다고",-8.99335060451998
"고등학생들이라",-8.94624250755181
"끊으시고",-8.93043377242084
"불러야함",-8.9263377910989
"그럴거면",-8.92414852719993
"들어간집",-8.91688608503256
"모르겠는데",-8.91456957769537
"가져다",-8.8907259873693
"먹을께없음",-8.88324650081019
"생겄으니",-8.83643110559676
"국수는",-8.8137723696006
"넘쳐나서",-8.8124869260944
"그때서야",-8.79992843228954
"기본인데",-8.77469951012008
"베트남",-8.7544633351506
"기름기가",-8.73760333469033
"걸쭉해진",-8.72932083611952
"알밥도",-8.71636961131139
"그따구로",-8.69893010341521
"걸린다고",-8.69044211215591
"생각이고요",-8.67002709327436
"냉동고기인건지",-8.64719355108147
"맛있다고",-8.60898684533711
"한방삼계탕과",-8.58488986375398
"소주가술술",-8.56781968456276
"더이상",-8.55771899951135
"그렇게했다고",-8.5437762240151
"과일인줄",-8.51257437505115
"그게아니더라구요",-8.51120731588927
