"","x"
"가면서",0.128059141243308
"착한가격에",0.12714829888525
"사장님께서",0.124699865089839
"김치찌게",0.123297980324196
"치킨보다",0.122019381763105
"주셔서",0.121164657691273
"아버지가",0.120422876415453
"분들이",0.116309051482046
"양념맛이",0.116017537540326
"행복해요",0.110879917505705
"맛있는",0.110518130872061
"드디어",0.103750104126563
"이동네살아서",0.103566706688698
"비하면",0.103453774065466
"양까지",0.103282654304409
"맛있었음",0.101348255916914
"(Intercept)",0.101008621158089
"저렴해서",0.100937401836442
"다먹어봤는데",0.0981546701021727
"먹어봤어요",0.0882246463894807
"만족합니다",0.0817059379689715
"다음에도",0.0802915447981447
"고기중에서도",0.0782482808896354
"생각나는",0.0758950367285629
"최고에요",0.0619910701186874
"바삭하고",0.0611904361554916
"괜찮고",0.0608292855814887
"일품입니다",0.0584496656403803
"다른곳으로",0.0457424556023062
"담백해서",0.0457392372218483
"샐러드바도",0.0456577042915891
"고르곤졸라",0.0451532553264405
"인세트",0.0442320403884434
"이상해져서",0.043604590215888
"완전강추",0.0416471651079039
"구수한",0.0332079260552177
"좋았네요",0.0298269385454612
"가게는",0.0251757526437148
"여기서만",0.025059906950852
"똑같이",0.0225212512347649
"곳인데",0.0195211762540094
"먹을수",0.0136545225080547
"맵냐고",0.0109414207746678
"바쁘니까",0.00683481175428404
"매장도",0.0057201222487268
"워낙에",0.00558824987605401
"먹습니다",0.00551993062263597
"오래걸려요",0.00479105264626342
"탕수육고기가",0.00417545614054528
"고기집중에",0.00400882138011935
"추천으로",0.00353984456877931
"설명못해주는",0.0015655111002193
"주는거라서",0.000943513271119836
"친절하시던데",0.000828691033979724
"메뉴판",0.000799724445061811
"평가합니다",0.000711797196895168
"포장해와서먹는데",0.000247717535682749
"물어본건데",0.0000178090797560361
"고소하네용근데",0.000000488403571181595
"탕수육세트",0.000000000000382805768768706
